noun	verb	case	frequency
access	call	concrete	115
access	dial	concrete	80
access	lift	concrete	75
access	escort	concrete	60
access	walk	concrete	58
access	handle	concrete	54
access	carry	concrete	53
access	drive	concrete	41
access	serve	concrete	37
access	reach	concrete	35
access	lock	concrete	34
access	step	concrete	33
access	lead	concrete	32
access	tackle	concrete	31
access	unlock	concrete	31
access	console	concrete	26
access	cross	concrete	25
access	fight	concrete	25
access	visit	concrete	23
access	switch	concrete	19
access	talk	concrete	18
access	sign	concrete	17
access	treat	concrete	16
access	launch	concrete	16
access	drop	concrete	15
access	seal	concrete	12
access	push	concrete	12
access	grind	concrete	12
access	slide	concrete	11
access	steal	concrete	11
access	speak	concrete	11
access	roll	concrete	10
access	watch	concrete	9
access	break	concrete	9
access	split	concrete	8
access	stand	concrete	6
access	draw	concrete	6
access	shed	concrete	5
access	fall	concrete	5
access	rise	concrete	5
access	pick	concrete	5
access	halve	concrete	5
access	furnish	concrete	5
access	climb	concrete	4
access	pack	concrete	4
access	cobble	concrete	4
access	commute	concrete	4
access	smoke	concrete	3
access	sniff	concrete	3
access	catch	concrete	3
access	skip	concrete	3
access	dive	concrete	3
access	pave	concrete	3
access	shoot	concrete	3
access	stick	concrete	2
access	jump	concrete	2
access	dance	concrete	2
access	feed	concrete	2
access	forge	concrete	2
access	peddle	concrete	2
access	throw	concrete	2
access	beat	concrete	2
access	cast	concrete	2
access	kill	concrete	2
access	laminate	concrete	2
access	hunt	concrete	2
access	excavate	concrete	2
access	weigh	concrete	2
access	squeeze	concrete	2
access	sound	concrete	2
access	paint	concrete	1
access	kiss	concrete	1
access	swim	concrete	1
access	goggle	concrete	1
access	knit	concrete	1
access	shelve	concrete	1
access	wash	concrete	1
access	wrestle	concrete	1
access	hail	concrete	1
access	inject	concrete	1
access	crawl	concrete	1
access	swipe	concrete	1
access	unplug	concrete	1
access	drag	concrete	1
access	scratch	concrete	1
access	fold	concrete	1
access	slip	concrete	1
access	flog	concrete	1
access	tilt	concrete	1
access	click	concrete	1
access	resume	concrete	1
access	sever	concrete	1
access	slam	concrete	1
access	wring	concrete	1
activist	become	abstract	83
activist	know	abstract	62
activist	develop	abstract	20
activist	enable	abstract	18
activist	inspire	abstract	13
activist	empower	abstract	10
activist	engage	abstract	10
activist	motivate	abstract	10
activist	need	abstract	8
activist	hope	abstract	7
activist	explain	abstract	7
activist	persuade	abstract	7
activist	ensure	abstract	6
activist	qualify	abstract	6
activist	want	abstract	6
activist	remain	abstract	6
activist	suggest	abstract	5
activist	alienate	abstract	5
activist	convince	abstract	5
activist	affect	abstract	5
activist	expect	abstract	4
activist	condemn	abstract	4
activist	advise	abstract	4
activist	commit	abstract	4
activist	believe	abstract	3
activist	embody	abstract	3
activist	occur	abstract	3
activist	annoy	abstract	3
activist	excite	abstract	3
activist	welcome	abstract	3
activist	suppose	abstract	2
activist	imagine	abstract	2
activist	prefer	abstract	2
activist	seem	abstract	2
activist	wonder	abstract	2
activist	denounce	abstract	2
activist	comprise	abstract	2
activist	depend	abstract	2
activist	conceive	abstract	2
activist	trust	abstract	2
activist	blame	abstract	2
activist	conduct	abstract	2
activist	promise	abstract	2
activist	educate	abstract	2
activist	confirm	abstract	2
activist	belong	abstract	1
activist	prevail	abstract	1
activist	outdo	abstract	1
activist	consider	abstract	1
activist	exploit	abstract	1
activist	oblige	abstract	1
activist	reclaim	abstract	1
activist	conclude	abstract	1
activist	happen	abstract	1
activist	pervade	abstract	1
activist	improve	abstract	1
activist	prove	abstract	1
activist	defy	abstract	1
activist	bolster	abstract	1
activist	appease	abstract	1
activist	evolve	abstract	1
activist	hate	abstract	1
activist	bother	abstract	1
activist	declare	abstract	1
activist	devote	abstract	1
activist	admire	abstract	1
activist	consist	abstract	1
activist	rebuke	abstract	1
activist	require	abstract	1
activist	dominate	abstract	1
activist	afflict	abstract	1
activist	define	abstract	1
activist	betray	abstract	1
activist	would	abstract	0
activist	idealize	abstract	0
activist	zing	abstract	0
activist	avail	abstract	0
activist	could	abstract	0
activist	moralize	abstract	0
activist	deserved	abstract	0
activist	trusting	abstract	0
activist	ought	abstract	0
activist	distrust	abstract	0
activist	justify	abstract	0
activist	accustom	abstract	0
activist	were	abstract	0
activist	assuming	abstract	0
activist	meant	abstract	0
activist	redefine	abstract	0
activist	acquaint	abstract	0
activist	imposing	abstract	0
activist	aspire	abstract	0
activist	should	abstract	0
activist	await	abstract	0
activist	causing	abstract	0
activist	inspired	abstract	0
activist	behoove	abstract	0
activist	disown	abstract	0
activist	valued	abstract	0
activist	differ	abstract	0
activist	lead	concrete	69
activist	call	concrete	20
activist	kill	concrete	14
activist	write	concrete	11
activist	show	concrete	10
activist	visit	concrete	10
activist	reach	concrete	10
activist	kidnap	concrete	9
activist	launch	concrete	9
activist	talk	concrete	8
activist	climb	concrete	6
activist	convict	concrete	6
activist	drive	concrete	5
activist	push	concrete	4
activist	rise	concrete	4
activist	draw	concrete	4
activist	treat	concrete	4
activist	speak	concrete	4
activist	fight	concrete	3
activist	dump	concrete	3
activist	serve	concrete	3
activist	build	concrete	3
activist	sign	concrete	2
activist	cover	concrete	2
activist	steer	concrete	2
activist	stand	concrete	2
activist	burn	concrete	2
activist	carry	concrete	2
activist	fall	concrete	2
activist	throw	concrete	2
activist	pull	concrete	2
activist	seize	concrete	2
activist	vote	concrete	2
activist	applaud	concrete	2
activist	raise	concrete	2
activist	screw	concrete	1
activist	buckle	concrete	1
activist	watch	concrete	1
activist	tackle	concrete	1
activist	knock	concrete	1
activist	laugh	concrete	1
activist	feed	concrete	1
activist	shout	concrete	1
activist	clap	concrete	1
activist	pour	concrete	1
activist	strike	concrete	1
activist	forge	concrete	1
activist	beat	concrete	1
activist	shoot	concrete	1
activist	split	concrete	1
activist	flatten	concrete	1
activist	hunt	concrete	1
activist	bang	concrete	1
activist	stir	concrete	1
activist	break	concrete	1
activist	comb	concrete	0
activist	tire	concrete	0
activist	smoke	concrete	0
activist	nail	concrete	0
activist	scissor	concrete	0
activist	blinking	concrete	0
activist	rake	concrete	0
activist	firebomb	concrete	0
activist	handcuff	concrete	0
activist	paint	concrete	0
activist	leaves	concrete	0
activist	skating	concrete	0
activist	vomit	concrete	0
activist	piss	concrete	0
activist	slap	concrete	0
activist	spit	concrete	0
activist	caulk	concrete	0
activist	sandbag	concrete	0
activist	whip	concrete	0
activist	eave	concrete	0
activist	smack	concrete	0
activist	snowshoe	concrete	0
activist	spout	concrete	0
activist	barge	concrete	0
activist	legging	concrete	0
activist	crochet	concrete	0
activist	lock	concrete	0
activist	sprout	concrete	0
activist	chisel	concrete	0
activist	meth	concrete	0
activist	seal	concrete	0
activist	stoop	concrete	0
activist	drool	concrete	0
activist	peel	concrete	0
activist	drawing	concrete	0
activist	puke	concrete	0
activist	sail	concrete	0
activist	stick	concrete	0
activist	handle	concrete	0
activist	skate	concrete	0
activist	tear	concrete	0
activist	shed	concrete	0
activist	brush	concrete	0
activist	step	concrete	0
activist	swing	concrete	0
activity	develop	abstract	1195
activity	relate	abstract	876
activity	engage	abstract	622
activity	regulate	abstract	607
activity	suggest	abstract	571
activity	manage	abstract	550
activity	conduct	abstract	455
activity	reduce	abstract	453
activity	affect	abstract	358
activity	ensure	abstract	352
activity	solve	abstract	310
activity	evaluate	abstract	241
activity	consider	abstract	240
activity	improve	abstract	218
activity	enable	abstract	217
activity	define	abstract	213
activity	inhibit	abstract	207
activity	require	abstract	206
activity	prohibit	abstract	195
activity	know	abstract	156
activity	vary	abstract	134
activity	qualify	abstract	131
activity	need	abstract	123
activity	expect	abstract	107
activity	explain	abstract	102
activity	approve	abstract	94
activity	decide	abstract	84
activity	devise	abstract	76
activity	declare	abstract	72
activity	want	abstract	70
activity	predict	abstract	70
activity	infringe	abstract	63
activity	comprise	abstract	61
activity	become	abstract	58
activity	motivate	abstract	56
activity	believe	abstract	52
activity	condone	abstract	40
activity	situate	abstract	40
activity	depict	abstract	39
activity	depend	abstract	38
activity	love	abstract	36
activity	justify	abstract	35
activity	dominate	abstract	35
activity	consist	abstract	34
activity	confirm	abstract	33
activity	enrich	abstract	32
activity	intend	abstract	31
activity	remain	abstract	31
activity	excite	abstract	31
activity	prefer	abstract	30
activity	forbid	abstract	30
activity	tolerate	abstract	29
activity	condemn	abstract	29
activity	inspire	abstract	26
activity	fulfill	abstract	26
activity	derive	abstract	26
activity	welcome	abstract	24
activity	imply	abstract	23
activity	differ	abstract	22
activity	assume	abstract	22
activity	commit	abstract	22
activity	conclude	abstract	20
activity	verify	abstract	20
activity	perceive	abstract	19
activity	quantify	abstract	19
activity	wish	abstract	19
activity	denote	abstract	19
activity	renew	abstract	19
activity	hope	abstract	18
activity	simplify	abstract	18
activity	exploit	abstract	17
activity	occur	abstract	17
activity	preclude	abstract	16
activity	imagine	abstract	15
activity	impair	abstract	15
activity	devote	abstract	15
activity	confuse	abstract	15
activity	recall	abstract	15
activity	prove	abstract	14
activity	advise	abstract	14
activity	omit	abstract	14
activity	seem	abstract	13
activity	offend	abstract	12
activity	elicit	abstract	12
activity	entail	abstract	12
activity	clarify	abstract	12
activity	suppose	abstract	11
activity	incur	abstract	11
activity	cope	abstract	10
activity	happen	abstract	10
activity	redirect	abstract	10
activity	forget	abstract	10
activity	deplore	abstract	9
activity	resolve	abstract	9
activity	prolong	abstract	9
activity	render	abstract	9
activity	impose	abstract	8
activity	empower	abstract	8
activity	convey	abstract	7
activity	signify	abstract	7
activity	cover	concrete	736
activity	raise	concrete	704
activity	show	concrete	573
activity	lead	concrete	454
activity	carry	concrete	431
activity	write	concrete	324
activity	build	concrete	243
activity	resume	concrete	199
activity	drive	concrete	199
activity	pack	concrete	155
activity	watch	concrete	133
activity	speak	concrete	130
activity	draw	concrete	85
activity	handle	concrete	82
activity	call	concrete	80
activity	climb	concrete	77
activity	swim	concrete	70
activity	walk	concrete	67
activity	visit	concrete	64
activity	launch	concrete	49
activity	check	concrete	48
activity	tackle	concrete	45
activity	break	concrete	40
activity	rise	concrete	37
activity	steer	concrete	36
activity	feed	concrete	34
activity	pick	concrete	32
activity	shoot	concrete	30
activity	cross	concrete	28
activity	smelt	concrete	28
activity	talk	concrete	24
activity	blend	concrete	22
activity	dance	concrete	20
activity	dive	concrete	19
activity	swap	concrete	19
activity	sing	concrete	18
activity	fight	concrete	18
activity	fall	concrete	18
activity	serve	concrete	18
activity	step	concrete	17
activity	switch	concrete	16
activity	treat	concrete	16
activity	reach	concrete	16
activity	stand	concrete	14
activity	split	concrete	14
activity	drop	concrete	13
activity	hunt	concrete	12
activity	cook	concrete	10
activity	bake	concrete	10
activity	sever	concrete	10
activity	dump	concrete	10
activity	stir	concrete	10
activity	sound	concrete	10
activity	push	concrete	9
activity	skip	concrete	9
activity	brace	concrete	9
activity	sail	concrete	8
activity	spin	concrete	8
activity	plough	concrete	8
activity	jump	concrete	7
activity	kick	concrete	7
activity	weave	concrete	7
activity	roll	concrete	7
activity	pull	concrete	7
activity	freeze	concrete	7
activity	glide	concrete	7
activity	commute	concrete	7
activity	lock	concrete	6
activity	spike	concrete	6
activity	scratch	concrete	6
activity	throw	concrete	6
activity	beat	concrete	6
activity	lift	concrete	6
activity	bust	concrete	6
activity	burn	concrete	5
activity	wrap	concrete	5
activity	juggle	concrete	5
activity	subtract	concrete	5
activity	stick	concrete	4
activity	stall	concrete	4
activity	catch	concrete	4
activity	cast	concrete	4
activity	kill	concrete	4
activity	squeeze	concrete	4
activity	blow	concrete	4
activity	smell	concrete	4
activity	swing	concrete	3
activity	wash	concrete	3
activity	inject	concrete	3
activity	weld	concrete	3
activity	rattle	concrete	3
activity	forge	concrete	3
activity	click	concrete	3
activity	grind	concrete	3
activity	shine	concrete	3
activity	vote	concrete	3
activity	furnish	concrete	3
activity	magnify	concrete	3
activity	hang	concrete	3
activity	carve	concrete	3
actress	become	abstract	111
actress	know	abstract	27
actress	love	abstract	15
actress	need	abstract	6
actress	aspire	abstract	5
actress	welcome	abstract	5
actress	imagine	abstract	4
actress	want	abstract	4
actress	engage	abstract	4
actress	require	abstract	4
actress	confirm	abstract	4
actress	seem	abstract	3
actress	admire	abstract	3
actress	persuade	abstract	3
actress	insist	abstract	3
actress	belong	abstract	2
actress	consider	abstract	2
actress	suggest	abstract	2
actress	affect	abstract	2
actress	forget	abstract	2
actress	promise	abstract	2
actress	recall	abstract	2
actress	justify	abstract	1
actress	believe	abstract	1
actress	exploit	abstract	1
actress	deserve	abstract	1
actress	cherish	abstract	1
actress	inspire	abstract	1
actress	allege	abstract	1
actress	happen	abstract	1
actress	afford	abstract	1
actress	approve	abstract	1
actress	evaluate	abstract	1
actress	laud	abstract	1
actress	comprise	abstract	1
actress	expect	abstract	1
actress	annoy	abstract	1
actress	covet	abstract	1
actress	condemn	abstract	1
actress	devote	abstract	1
actress	advise	abstract	1
actress	haunt	abstract	1
actress	loathe	abstract	1
actress	bestow	abstract	1
actress	strive	abstract	1
actress	educate	abstract	1
actress	commend	abstract	1
actress	obsess	abstract	1
actress	infer	abstract	1
actress	commit	abstract	1
actress	would	abstract	0
actress	idealize	abstract	0
actress	zing	abstract	0
actress	hope	abstract	0
actress	avail	abstract	0
actress	could	abstract	0
actress	moralize	abstract	0
actress	suppose	abstract	0
actress	deserved	abstract	0
actress	trusting	abstract	0
actress	ought	abstract	0
actress	prevail	abstract	0
actress	distrust	abstract	0
actress	accustom	abstract	0
actress	were	abstract	0
actress	assuming	abstract	0
actress	meant	abstract	0
actress	redefine	abstract	0
actress	acquaint	abstract	0
actress	imposing	abstract	0
actress	should	abstract	0
actress	await	abstract	0
actress	causing	abstract	0
actress	inspired	abstract	0
actress	behoove	abstract	0
actress	disown	abstract	0
actress	valued	abstract	0
actress	differ	abstract	0
actress	estrange	abstract	0
actress	fooling	abstract	0
actress	instill	abstract	0
actress	knowing	abstract	0
actress	outdo	abstract	0
actress	smitten	abstract	0
actress	limiting	abstract	0
actress	accrue	abstract	0
actress	becomes	abstract	0
actress	deduce	abstract	0
actress	forsaken	abstract	0
actress	implore	abstract	0
actress	assuring	abstract	0
actress	embitter	abstract	0
actress	pertain	abstract	0
actress	prefer	abstract	0
actress	renounce	abstract	0
actress	knew	abstract	0
actress	degrade	abstract	0
actress	deign	abstract	0
actress	deprave	abstract	0
actress	freeing	abstract	0
actress	lead	concrete	30
actress	cast	concrete	11
actress	show	concrete	9
actress	sign	concrete	8
actress	watch	concrete	7
actress	rise	concrete	6
actress	shoot	concrete	6
actress	launch	concrete	5
actress	visit	concrete	4
actress	kill	concrete	4
actress	sing	concrete	3
actress	laugh	concrete	3
actress	call	concrete	3
actress	beat	concrete	3
actress	dump	concrete	3
actress	vote	concrete	3
actress	kiss	concrete	2
actress	write	concrete	2
actress	fall	concrete	2
actress	cuddle	concrete	2
actress	kidnap	concrete	2
actress	stick	concrete	1
actress	wash	concrete	1
actress	strangle	concrete	1
actress	kick	concrete	1
actress	dance	concrete	1
actress	escort	concrete	1
actress	cover	concrete	1
actress	push	concrete	1
actress	stand	concrete	1
actress	catch	concrete	1
actress	talk	concrete	1
actress	slam	concrete	1
actress	draw	concrete	1
actress	pull	concrete	1
actress	pick	concrete	1
actress	haul	concrete	1
actress	grope	concrete	1
actress	serve	concrete	1
actress	sound	concrete	1
actress	speak	concrete	1
actress	comb	concrete	0
actress	tire	concrete	0
actress	smoke	concrete	0
actress	nail	concrete	0
actress	scissor	concrete	0
actress	blinking	concrete	0
actress	rake	concrete	0
actress	screw	concrete	0
actress	firebomb	concrete	0
actress	handcuff	concrete	0
actress	paint	concrete	0
actress	leaves	concrete	0
actress	skating	concrete	0
actress	vomit	concrete	0
actress	piss	concrete	0
actress	slap	concrete	0
actress	buckle	concrete	0
actress	spit	concrete	0
actress	caulk	concrete	0
actress	sandbag	concrete	0
actress	whip	concrete	0
actress	eave	concrete	0
actress	smack	concrete	0
actress	snowshoe	concrete	0
actress	spout	concrete	0
actress	barge	concrete	0
actress	legging	concrete	0
actress	crochet	concrete	0
actress	lock	concrete	0
actress	sprout	concrete	0
actress	chisel	concrete	0
actress	meth	concrete	0
actress	seal	concrete	0
actress	stoop	concrete	0
actress	drool	concrete	0
actress	peel	concrete	0
actress	drawing	concrete	0
actress	puke	concrete	0
actress	sail	concrete	0
actress	handle	concrete	0
actress	skate	concrete	0
actress	tear	concrete	0
actress	shed	concrete	0
actress	brush	concrete	0
actress	step	concrete	0
actress	swing	concrete	0
actress	weep	concrete	0
actress	clamp	concrete	0
actress	dial	concrete	0
actress	dunk	concrete	0
actress	honk	concrete	0
actress	jump	concrete	0
actress	kissing	concrete	0
actress	lick	concrete	0
actress	spike	concrete	0
actress	bodysurf	concrete	0
actress	crank	concrete	0
actress	ditch	concrete	0
actress	painted	concrete	0
advance	know	abstract	1747
advance	require	abstract	423
advance	approve	abstract	215
advance	decide	abstract	177
advance	need	abstract	128
advance	predict	abstract	122
advance	consider	abstract	117
advance	advise	abstract	104
advance	exploit	abstract	72
advance	enable	abstract	70
advance	define	abstract	61
advance	ensure	abstract	58
advance	develop	abstract	56
advance	confirm	abstract	50
advance	expect	abstract	46
advance	welcome	abstract	38
advance	declare	abstract	31
advance	explain	abstract	30
advance	want	abstract	29
advance	spurn	abstract	27
advance	conduct	abstract	21
advance	believe	abstract	20
advance	happen	abstract	20
advance	evaluate	abstract	20
advance	promise	abstract	18
advance	assume	abstract	17
advance	clarify	abstract	16
advance	suggest	abstract	15
advance	commit	abstract	15
advance	improve	abstract	14
advance	foresee	abstract	13
advance	conform	abstract	12
advance	depend	abstract	12
advance	relate	abstract	12
advance	suppose	abstract	10
advance	imagine	abstract	9
advance	devise	abstract	9
advance	inspire	abstract	8
advance	occur	abstract	8
advance	rely	abstract	8
advance	hope	abstract	7
advance	justify	abstract	7
advance	astound	abstract	7
advance	resolve	abstract	7
advance	renew	abstract	7
advance	become	abstract	6
advance	prohibit	abstract	6
advance	evolve	abstract	6
advance	verify	abstract	6
advance	rebuff	abstract	6
advance	intend	abstract	5
advance	quantify	abstract	5
advance	afford	abstract	5
advance	affect	abstract	5
advance	manage	abstract	5
advance	forget	abstract	5
advance	inhibit	abstract	5
advance	signify	abstract	4
advance	reclaim	abstract	4
advance	conclude	abstract	4
advance	vary	abstract	4
advance	condemn	abstract	4
advance	derive	abstract	4
advance	engage	abstract	4
advance	motivate	abstract	4
advance	stay	abstract	4
advance	await	abstract	3
advance	convey	abstract	3
advance	perceive	abstract	3
advance	seem	abstract	3
advance	wish	abstract	3
advance	convince	abstract	3
advance	imply	abstract	3
advance	concede	abstract	3
advance	forbid	abstract	3
advance	incur	abstract	3
advance	reduce	abstract	3
advance	conceive	abstract	3
advance	satisfy	abstract	3
advance	deduce	abstract	2
advance	prefer	abstract	2
advance	preclude	abstract	2
advance	deserve	abstract	2
advance	exceed	abstract	2
advance	cope	abstract	2
advance	tolerate	abstract	2
advance	condone	abstract	2
advance	regret	abstract	2
advance	wonder	abstract	2
advance	compel	abstract	2
advance	prove	abstract	2
advance	entail	abstract	2
advance	encroach	abstract	2
advance	comprise	abstract	2
advance	equate	abstract	2
advance	impose	abstract	2
advance	qualify	abstract	2
advance	remain	abstract	2
advance	excite	abstract	2
advance	hate	abstract	2
advance	write	concrete	192
advance	check	concrete	141
advance	lead	concrete	106
advance	show	concrete	86
advance	raise	concrete	82
advance	cover	concrete	78
advance	speak	concrete	77
advance	call	concrete	76
advance	sign	concrete	38
advance	drive	concrete	38
advance	visit	concrete	25
advance	build	concrete	24
advance	resume	concrete	23
advance	excavate	concrete	14
advance	draw	concrete	13
advance	serve	concrete	11
advance	reach	concrete	11
advance	sound	concrete	11
advance	cook	concrete	10
advance	fight	concrete	9
advance	talk	concrete	9
advance	watch	concrete	8
advance	push	concrete	8
advance	carry	concrete	8
advance	treat	concrete	8
advance	handle	concrete	7
advance	applaud	concrete	7
advance	stall	concrete	6
advance	vote	concrete	6
advance	launch	concrete	6
advance	catch	concrete	5
advance	freeze	concrete	5
advance	bake	concrete	4
advance	rise	concrete	4
advance	tackle	concrete	3
advance	drop	concrete	3
advance	stand	concrete	3
advance	pack	concrete	3
advance	pick	concrete	3
advance	seal	concrete	2
advance	sail	concrete	2
advance	hail	concrete	2
advance	feed	concrete	2
advance	leapfrog	concrete	2
advance	walk	concrete	2
advance	seize	concrete	2
advance	kill	concrete	2
advance	steal	concrete	2
advance	grope	concrete	2
advance	break	concrete	2
advance	paint	concrete	1
advance	lock	concrete	1
advance	step	concrete	1
advance	cross	concrete	1
advance	wash	concrete	1
advance	sing	concrete	1
advance	dance	concrete	1
advance	escort	concrete	1
advance	inject	concrete	1
advance	weave	concrete	1
advance	shout	concrete	1
advance	sidestep	concrete	1
advance	climb	concrete	1
advance	unlock	concrete	1
advance	explode	concrete	1
advance	slip	concrete	1
advance	rattle	concrete	1
advance	fall	concrete	1
advance	flog	concrete	1
advance	secrete	concrete	1
advance	throw	concrete	1
advance	chirp	concrete	1
advance	beat	concrete	1
advance	grind	concrete	1
advance	pull	concrete	1
advance	shoot	concrete	1
advance	split	concrete	1
advance	trim	concrete	1
advance	cast	concrete	1
advance	spin	concrete	1
advance	console	concrete	1
advance	bury	concrete	1
advance	chuck	concrete	1
advance	hobble	concrete	1
advance	subtract	concrete	1
advance	hunt	concrete	1
advance	unsaddle	concrete	1
advance	weigh	concrete	1
advance	furnish	concrete	1
advance	blow	concrete	1
advance	sharpen	concrete	1
advance	carve	concrete	1
advance	comb	concrete	0
advance	tire	concrete	0
advance	smoke	concrete	0
advance	nail	concrete	0
advance	scissor	concrete	0
advance	blinking	concrete	0
advance	rake	concrete	0
advance	screw	concrete	0
agreement	conclude	abstract	473
agreement	require	abstract	398
agreement	confirm	abstract	237
agreement	signify	abstract	200
agreement	develop	abstract	192
agreement	welcome	abstract	186
agreement	need	abstract	170
agreement	violate	abstract	122
agreement	prohibit	abstract	118
agreement	ensure	abstract	110
agreement	approve	abstract	96
agreement	vary	abstract	91
agreement	renew	abstract	90
agreement	want	abstract	85
agreement	believe	abstract	79
agreement	manage	abstract	75
agreement	consider	abstract	71
agreement	imply	abstract	67
agreement	expect	abstract	63
agreement	resolve	abstract	57
agreement	qualify	abstract	46
agreement	hope	abstract	44
agreement	infringe	abstract	43
agreement	enable	abstract	43
agreement	affect	abstract	39
agreement	render	abstract	35
agreement	depend	abstract	34
agreement	regulate	abstract	34
agreement	improve	abstract	33
agreement	await	abstract	31
agreement	explain	abstract	29
agreement	suggest	abstract	28
agreement	define	abstract	28
agreement	relate	abstract	27
agreement	fulfill	abstract	25
agreement	impose	abstract	24
agreement	assume	abstract	21
agreement	decide	abstract	19
agreement	verify	abstract	17
agreement	finalize	abstract	17
agreement	seem	abstract	15
agreement	declare	abstract	15
agreement	know	abstract	14
agreement	comprise	abstract	13
agreement	remain	abstract	13
agreement	evolve	abstract	12
agreement	embody	abstract	10
agreement	happen	abstract	10
agreement	occur	abstract	9
agreement	evaluate	abstract	9
agreement	advise	abstract	9
agreement	become	abstract	8
agreement	defer	abstract	8
agreement	denote	abstract	8
agreement	recall	abstract	8
agreement	prefer	abstract	7
agreement	offend	abstract	7
agreement	rely	abstract	7
agreement	devise	abstract	7
agreement	deem	abstract	7
agreement	infer	abstract	7
agreement	justify	abstract	6
agreement	exceed	abstract	6
agreement	wish	abstract	6
agreement	prove	abstract	6
agreement	affirm	abstract	6
agreement	reduce	abstract	6
agreement	satisfy	abstract	6
agreement	promise	abstract	6
agreement	commend	abstract	6
agreement	insist	abstract	6
agreement	commit	abstract	6
agreement	suppose	abstract	5
agreement	renounce	abstract	5
agreement	intend	abstract	5
agreement	perceive	abstract	5
agreement	entail	abstract	5
agreement	simplify	abstract	5
agreement	clarify	abstract	5
agreement	nullify	abstract	5
agreement	differ	abstract	4
agreement	preclude	abstract	4
agreement	denounce	abstract	4
agreement	condemn	abstract	4
agreement	strive	abstract	4
agreement	feign	abstract	4
agreement	disown	abstract	3
agreement	invoke	abstract	3
agreement	abide	abstract	3
agreement	appraise	abstract	3
agreement	elicit	abstract	3
agreement	allege	abstract	3
agreement	maximize	abstract	3
agreement	construe	abstract	3
agreement	incur	abstract	3
agreement	forget	abstract	3
agreement	betray	abstract	3
agreement	prevail	abstract	2
agreement	forgo	abstract	2
agreement	convey	abstract	2
agreement	reach	concrete	5945
agreement	sign	concrete	3738
agreement	write	concrete	576
agreement	break	concrete	333
agreement	show	concrete	202
agreement	cover	concrete	100
agreement	lead	concrete	73
agreement	build	concrete	55
agreement	call	concrete	54
agreement	check	concrete	51
agreement	forge	concrete	50
agreement	draw	concrete	45
agreement	strike	concrete	39
agreement	walk	concrete	38
agreement	treat	concrete	22
agreement	handle	concrete	20
agreement	seal	concrete	16
agreement	launch	concrete	16
agreement	stand	concrete	15
agreement	step	concrete	14
agreement	push	concrete	11
agreement	carry	concrete	11
agreement	raise	concrete	10
agreement	mumble	concrete	9
agreement	hail	concrete	8
agreement	stick	concrete	7
agreement	drive	concrete	7
agreement	tear	concrete	6
agreement	laugh	concrete	5
agreement	applaud	concrete	5
agreement	speak	concrete	5
agreement	recite	concrete	4
agreement	vote	concrete	4
agreement	furnish	concrete	4
agreement	cross	concrete	3
agreement	stall	concrete	3
agreement	tackle	concrete	3
agreement	drop	concrete	3
agreement	shout	concrete	3
agreement	talk	concrete	3
agreement	fall	concrete	3
agreement	kill	concrete	3
agreement	lift	concrete	3
agreement	shelve	concrete	2
